Part_Brand_id,Part Brand Name,Part_Brand_name_Tags,desc,Part_Brand_Type,Oem_id
641,sun,sun,-,2,1
642,super circle,super circle,-,2,1
643,suplex,suplex,-,2,1
644,sure filter,sure filter,-,2,1
645,swf,swf,-,2,1
646,syndicate,syndicate,-,2,1
647,tadano,tadano,-,2,1
648,taiho,taiho,-,2,1
649,tama,tama,-,2,1
650,tata,tata,-,2,1
651,tayen,tayen,-,2,1
652,tbk,tbk,-,2,1
653,tcic,tcic,-,2,1
654,teamec,teamec,-,2,1
655,tedgum,tedgum,-,2,1
656,teikin,teikin,-,2,1
657,tel turbo energy,tel turbo energy,-,2,1
658,templin,templin,-,2,1
659,terada,terada,-,2,1
660,teroson,teroson,-,2,1
661,tesla,tesla,-,2,1
662,textar,textar,-,2,1
663,tezuka,tezuka,-,2,1
664,thg,thg,-,2,1
665,tho,tho,-,2,1
666,thule,thule,-,2,1
667,tik,tik,-,2,1
668,timken,timken,-,2,1
669,tkd,tkd,-,2,1
670,tng,tng,-,2,1
671,tokico,tokico,-,2,1
672,tomex,tomex,-,2,1
673,tong yang,tong yang,-,2,1
674,top,top,-,2,1
675,top drive,top drive,-,2,1
676,total,total,-,2,1
677,towai,towai,-,2,1
678,toyo,toyo,-,2,1
679,toyota forklift,toyota forklift,-,2,1
680,tp,tp,-,2,1
681,trifa,trifa,-,2,1
682,trucktec,trucktec,-,2,1
683,trucktechnic,trucktechnic,-,2,1
684,tsk,tsk,-,2,1
685,tucker rocky,tucker rocky,-,2,1
686,turtle wax,turtle wax,-,2,1
687,tvs,tvs,-,2,1
688,tw,tw,-,2,1
689,tyc,tyc,-,2,1
690,tyg,tyg,-,2,1
691,uac,uac,-,2,1
692,ufi,ufi,-,2,1
693,ulo,ulo,-,2,1
694,unipoint,unipoint,-,2,1
695,urw,urw,-,2,1
696,valvoline,valvoline,-,2,1
697,varta,varta,-,2,1
698,vdo,vdo,-,2,1
699,vic,vic,-,2,1
700,vika,vika,-,2,1
701,vir,vir,-,2,1
702,visteon,visteon,-,2,1
703,volvo,volvo,-,2,1
704,volvo trucks,volvo trucks,-,2,1
705,vw / audi / skoda / seat / vag,vw / audi / skoda / seat / vag,-,2,1
706,wabco,wabco,-,2,1
707,waeco,waeco,-,2,1
708,wagner,wagner,-,2,1
709,wahler,wahler,-,2,1
710,wai,wai,-,2,1
711,webasto,webasto,-,2,1
712,westfalia,westfalia,-,2,1
713,westlake,westlake,-,2,1
714,wichmann,wichmann,-,2,1
715,wil,wil,-,2,1
716,wix filters,wix filters,-,2,1
717,wp,wp,-,2,1
718,wps,wps,-,2,1
719,wurth,wurth,-,2,1
720,wynn’s,wynn’s,-,2,1
721,yamaha,yamaha,-,2,1
722,y.c.c.,y.c.c.,-,2,1
723,yec,yec,-,2,1
724,ypr,ypr,-,2,1
725,ysk,ysk,-,2,1
726,yuasa,yuasa,-,2,1
727,zen,zen,-,2,1
728,zexel,zexel,-,2,1
729,zf,zf,-,2,1
730,zf parts,zf parts,-,2,1
731,zimmermann,zimmermann,-,2,1
